iter	Logloss
0	0.6791939708
1	0.6682155527
2	0.6574480974
3	0.6478581273
4	0.6398624328
5	0.6320011289
6	0.6255600758
7	0.6197620493
8	0.6144568586
9	0.6101518308
10	0.6057503652
11	0.6027449643
12	0.5995136783
13	0.595926263
14	0.5931338798
15	0.5901509768
16	0.587847605
17	0.5850652674
18	0.5825376957
19	0.5800980727
20	0.5784151719
21	0.5768389528
22	0.5752557061
23	0.5733870811
24	0.5718379986
25	0.5700063909
26	0.5689526929
27	0.567723804
28	0.5666172942
29	0.5654628025
30	0.5639086914
31	0.5627221309
32	0.5617160278
33	0.56063648
34	0.5593694772
35	0.5584894536
36	0.5577933596
37	0.557177249
38	0.5563880427
39	0.5556273911
40	0.5548455813
41	0.5543321637
42	0.553595587
43	0.5530103715
44	0.5523832322
45	0.5517520587
46	0.5511531147
47	0.5502482437
48	0.54932335
49	0.5486417992
50	0.5480863427
51	0.5475990069
52	0.5475678218
53	0.5470400626
54	0.5462477048
55	0.5457851323
56	0.545332591
57	0.5449153463
58	0.5444977474
59	0.5439427399
60	0.5434314504
61	0.5427808975
62	0.5423634493
63	0.5418665121
64	0.5412486099
65	0.5408797545
66	0.5403331821
67	0.5399369522
68	0.5396330462
69	0.5390204138
70	0.5386581049
71	0.538090786
72	0.5379061914
73	0.5373279226
74	0.5371399226
75	0.5367702712
76	0.5364453229
77	0.5361139943
78	0.5357447178
79	0.535392371
80	0.5351381622
81	0.5347834036
82	0.5344124128
83	0.5340729497
84	0.5335300231
85	0.5329937794
86	0.5326515564
87	0.5321955302
88	0.532018547
89	0.5316229743
90	0.5312145288
91	0.5308032307
92	0.5304265216
93	0.5301787592
94	0.5298388499
95	0.5296183321
96	0.5292594022
97	0.528889958
98	0.5287375837
99	0.5284228354
100	0.5282014942
101	0.5275135088
102	0.5272132113
103	0.5270187006
104	0.5267869252
105	0.5263218424
106	0.5256354115
107	0.5253601879
108	0.525041311
109	0.5248934445
110	0.5247837584
111	0.5243074229
112	0.5235858171
113	0.52347897
114	0.5232409961
115	0.5227321994
116	0.52231671
117	0.5219163319
118	0.5215724013
119	0.5211900147
120	0.5209359319
121	0.5205462958
122	0.5203175588
123	0.5201383166
124	0.5200290225
125	0.5197367197
126	0.5195524875
127	0.5190368819
128	0.5187505038
129	0.5185366736
130	0.5180149071
131	0.5178005925
132	0.5175299249
133	0.5174478703
134	0.5171786118
135	0.516890211
136	0.5165703937
137	0.5164342415
138	0.5158893915
139	0.5154138161
140	0.5151296318
141	0.5149091569
142	0.5147685541
143	0.5143806639
144	0.5141861066
145	0.5139242431
146	0.5137663277
147	0.513453414
148	0.5130021567
149	0.512744477
150	0.5125025536
151	0.5123270706
152	0.5119548988
153	0.5116549597
154	0.5114400265
155	0.5113035031
156	0.5111494296
157	0.5110302871
158	0.510836954
159	0.510568566
160	0.5103748882
161	0.5102551277
162	0.5101553209
163	0.5098096418
164	0.5096738928
165	0.5094803226
166	0.509241893
167	0.5088995067
168	0.5086371499
169	0.5085914255
170	0.5083287063
171	0.5080892274
172	0.5079341862
173	0.5076358221
174	0.5073281094
175	0.5071732979
176	0.5069595273
177	0.5066956729
178	0.5063110542
179	0.5062306791
180	0.5061221313
181	0.5060534154
182	0.5056853278
183	0.5055837834
184	0.5051679329
185	0.5049286991
186	0.504824002
187	0.5047026105
188	0.5044685439
189	0.504255953
190	0.5040238966
191	0.5038174549
192	0.5036616795
193	0.5035489615
194	0.5033084311
195	0.5031283445
196	0.5029184775
197	0.5027277511
198	0.5025565335
199	0.5024177778
